method,mashup_id,group,positive_count,Recall@5,NDCG@5,MAP@5,Recall@10,NDCG@10,MAP@10
Graph+BGE,699,Head,2,0.5,0.5377157309218195,0.4166666666666667,0.5,0.5377157309218195,0.4166666666666667
Graph+BGE,700,Head,2,0.5,0.6131471927654584,0.5,0.6666666666666666,0.6722269550268076,0.5333333333333333
Graph+BGE,704,Head,9,0.25925925925925924,0.45964520503334505,0.2966666666666667,0.25925925925925924,0.31854432823460965,0.16481481481481483
Graph+BGE,706,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,716,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.5555555555555555,0.5735628873611468,0.3968253968253968
Graph+BGE,718,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,729,Head,1,1.0,0.7103099178571526,0.611111111111111,1.0,0.7103099178571526,0.611111111111111
Graph+BGE,731,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,737,Head,2,1.0,0.9732402630493958,0.9444444444444443,1.0,0.9732402630493958,0.9444444444444443
Graph+BGE,747,Head,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7777777777777778,0.7142857142857143
Graph+BGE,752,Head,2,0.6666666666666666,0.5900218982276474,0.45555555555555555,0.8333333333333334,0.6628243771670355,0.5111111111111111
Graph+BGE,754,Head,4,0.5,0.619644984151272,0.47222222222222215,0.5,0.619644984151272,0.47222222222222215
Graph+BGE,757,Head,4,0.6666666666666666,0.7373621842180352,0.6,0.75,0.7765342191368442,0.6277777777777778
Graph+BGE,759,Head,3,0.6666666666666666,0.7448797876704593,0.6296296296296297,0.7777777777777777,0.7900971121479419,0.662962962962963
Graph+BGE,762,Head,1,1.0,0.8769765845238192,0.8333333333333334,1.0,0.8769765845238192,0.8333333333333334
Graph+BGE,770,Head,1,0.6666666666666666,0.5436432511904858,0.5,1.0,0.6399981932964485,0.5333333333333333
Graph+BGE,770,Middle,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Graph+BGE,771,Head,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7718216255952429,0.7083333333333334
Graph+BGE,772,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,775,Head,1,1.0,0.8769765845238192,0.8333333333333334,1.0,0.8769765845238192,0.8333333333333334
Graph+BGE,777,Head,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Graph+BGE,780,Head,2,0.5,0.4878306994334043,0.3666666666666667,0.5,0.4878306994334043,0.3666666666666667
